"","interes_ES","barreras_ES","publico_general_ES"
"68","Bueno yo estoy iniciando en este mundo de la investigación y quiero aprender de manera adecuada todo este proceso que conlleva investigar, por mi cuenta y por la interacción que se emplea en este programa, considero que me va a ayudar en mi formación que recien inicia y claro conocer las opiniones que se realicen en las sesiones con las diferentes perspectivas presentes.","Son varias desde mi punto de vista, pero considero las más importantes la no enseñanza de estos principios, ya que es raro encontrar a investigadores (en mi contexto claro) que muestren sus datos o códigos y tambien no hay esa formación desde pregrado y recien en posgrado se lleva de manera sencilla y casi sin debate. Otra seria la desconfianza con respecto a otros investigadores, asi como a organismos, los cuales pueden dar mal uso de muestras o códigos. Los procesos de metodologicos tambien entrarian, debido a que no se quiere mostrar con confianza los resultados obtenidos.","Esto es muy importante, ya que muchas veces el publico no es incluido en el reducido mundo cientifico, por lo que la comunicación que deberia estar presente de manera bidireccional queda muy deficiente, el desconocimiento, el lenguaje técnico etc. Hace dificultoso el entendimiento. Debido a esto considero que la Ciencia Abierta por parte de la comunidad cientifica va a hacer que se mejore el entendimiento de lo que se realiza en la investigación. Claramente es un proceso tambien de como llegar al púlbico en general, pero es importate esa confianza para las investigaciones"
"69",NA,"El costo de publicar en revistas com acceso abierto",NA
"70","Me parece interesante aprender más sobre recursos gratuitos que pueden implementarse para hacer llegar la ciencia a otras personas y aprovechar un ambiente profesional para conocer las experiencias de otros usuarios","Conocimiento de softwares o herramientas útiles y gratuitas","Seria un ambiente más colaborativo, permitiría un mayor alcance al publico en general"
"71","Para fortalecer mis conocimientos",NA,"Positivamente"
"72","Me gusta aprender y compartir","Acceso a tecnología","Aplicar los conocimientos en favor de la comunidad"
"73","Me interesa poder apoyar a la empresas y con ello reducir la falta de empleo y pobreza","Ningún problema como investigador","Más acceso a la investigación"
"74","Aprender nuevas metodologías","Presupuesto y apoyo de las autoridades","Amplia el conocimiento en una determinada linea de investigación"
"75","Porque la propuesta me parece muy interesante y es el área que busco desarrolarme.","Aprendizaje mutuo y continuo","Conocimiento del público sobre lo que se hace en Ciencia y su importancia."
"76","Quiero prepararme para ser astronauta","no saben los pasos para hacer una investigación","ayudara al publico en general a como saber adoptar estos principios"
"77","Para continuar capacitándome","Difusión clara para todo público","Acceso libre"
"78","Estoy interesado en participar en este programa de formación porque me permitirá desarrollar nuevas habilidades, mantenerme actualizado con las últimas tendencias, y mejorar mi desempeño profesional. Además, me ofrecerá oportunidades para conectar con otros expertos y contribuir de manera más significativa a mi campo. En resumen, busca un crecimiento integral y un impacto positivo en mi área de trabajo.","Adoptar prácticas de Ciencia Abierta puede presentar desafíos como proteger la confidencialidad de datos sensibles, manejar costos y recursos adicionales, y dedicar tiempo extra. También puede ser difícil obtener reconocimiento en un entorno académico que aún no valora estas prácticas, asegurar la calidad y reproducibilidad de los datos, y acceder a la infraestructura y capacitación necesarias.","La adopción de principios de Ciencia Abierta puede mejorar la relación entre la comunidad científica y el público al aumentar la transparencia, facilitar el acceso a la información, fomentar la participación ciudadana y promover una mayor educación y comprensión científica. Esto puede ayudar a reducir la desconfianza y fortalecer el vínculo entre científicos y el público."
"79","Estoy aplicando políticas y prácticas de Ciencia Abierta en mi repositorio, específicamente sobre Datos Abiertos, pero también sobre Preprints y Revisión por pares abierta","Incertidumbre y escepticismo por parte de editores e investigadores. Poca documentación práctica y falta de contactos que hayan aplicado prácticas de Ciencia Abierta de manera satisfactoria en el contexto latinoamericano.","En general, creo que podrían ayudar a la construcción de comunidades de investigación más solidarias y ecuánimes."
"80","Me interesa todo lo que tenga que ver con ciencia abierta y generar enlaces para compartir información que pudiera ser un aporte en las políticas de ciencia abierta","La posibilidad de que no se valore su trabajo","Es muy importante porque la gente incrementaría su conocimiento teniendo la posibilidad de revisar las investigaciones de toda dimensión"
"81","quiero aportar a la ciencia abierta y aprender para ser un agente activo en mi país sobre este tema","el impacto que tienen por sus indicadores para ser valorados","se romperían barreras, habría una sociedad más educada y un mayor desarrollo social"
"82","Para entender y aprender","Poca información","Mostrando mejores opciones aplicables a la realidad nacional"
"83","Me interesa participar en el programa ""Open Science 101"" de la NASA para profundizar en los principios y prácticas de la ciencia abierta, aplicarlos en mis proyectos y promover la transparencia y colaboración en la investigación. Esta formación me permitirá incorporar mejores prácticas en el ámbito aeroespacial y conectar con expertos del campo, enriqueciendo mi trabajo en la Agencia Espacial Mexicana y futuras iniciativas.","En la investigación aeroespacial, adoptar prácticas de Ciencia Abierta puede enfrentar varios desafíos, como la protección de datos sensibles debido a la naturaleza confidencial de ciertos proyectos, la necesidad de recursos adicionales para infraestructura y formación, y la resistencia al cambio de investigadores acostumbrados a modelos tradicionales. Además, la falta de estándares uniformes para la compartición de datos y la interoperabilidad entre plataformas puede complicar la implementación, y las prácticas de Ciencia Abierta a veces no se reflejan adecuadamente en los sistemas de evaluación y métricas de impacto, lo que puede afectar la reputación de los investigadores. Superar estos obstáculos requiere soluciones específicas y un enfoque colaborativo.","La adopción de principios de Ciencia Abierta puede mejorar la relación entre la comunidad científica y el público al hacer la investigación más transparente y accesible. Esto facilita la educación pública, aumenta la confianza en la ciencia y fomenta una mayor colaboración entre científicos y ciudadanos, enriqueciendo la conexión entre la ciencia y la sociedad."
"84","Creo que la formación en ciencia abierta es escencial para la academia y la transferencia de estos principios y herramientas a las nuevas generaciones permitirá crear una ultura colectiva que apoye esta iniciativa a nivel nacionaly regional","los modelos de evaluacion que priorizan revistas en bases pagadas (Scopus/WOS) con altos niveles de indexacion Q1","Reducir la brecha entre la ciencia y la sociedad"
"85","APRENDIZAJE","Recursos humanos","En TODO"
"86","Soy parte de una asociación civil que se encarga de difundir a nivel nacional los alcances de la Lingüística como disciplina con impacto científico, educativo y social.","En mi disciplina (Lingüística - Sintaxis Formal) cada vez se inventiva más a publicar en revistas OA.","El impacto resulta a gran escala. El desconocimiento de lo que implica hacer ciencia lleva a una mala concepción de organismos científicos y, muchas veces, esa visión está fundada en que no se ha sabido cómo comunicar al público general resultados e investigaciones técnicas y de nicho."
"87","Quiero aprender a difundir mi conocimiento.","Mi nivel de estudios actual.","Me ayudara a mejorar mi método de investigación y obtendré mayor fluides al explicar."
"88","La Ciencia Abierta como paradigma exige comprender sus distintas aristas sociales, técnicas y éticas por eso la formación permanente, interdisciplinaria y sinergia me resulta atrayente en términos personales y desafiante en clave profesional. Espero aprender colectivamente sobre la Ciencia Abierta.","-Aprender las reglas implícitas que tienen lugar tanto en las revistas científicas como los blogs.
-Divulgar en otro idioma.
-Contar con recursos humanos remunerados para poder llevar adelante las distintas etapas.","Posibilitaría hacer de dos esferas que se suponen separadas se transformen en un entramado: con flujo de información, saberes y aprendizajes simbólico-afectivos."
"89","porque considero que puede aportar a mi formacion como formadora en investigacion en ciencias sociales.","La falta de conocimientos de estas herramientas o canales, y ademas la falta de practicas al respecto.","es una de las formas de democratizar el conocimiento y crear masa critica sobre los aspectos estudiados en las ciencias sociales"
"90","Mejorar habilidades y aptitudes en la Investugacion.","Los costos de los insumos para investigación","Mayor accesibilidad a nueva información."
"91","Me permite ampliar mis conocimiento en este temática","El no reconocimiento institucional a nivel nacional","Sería un canal expedito de comunicación y difusión el conocimiento"
"92","Para adquirir nuevos conocimientos","Disposición a difundir en otros medios que no sean revistas científicas","Enriquecer el conocimiento a través del intercambio de saberes"
"93","Forma parte de mi trabajo de especialización","Mal uso de la información,  no ser citado.","Acortaria la brecha entre los q hacen ciencia y el ciudadano común"
"94","Actualizar el uso de herramientas y técnico acorde a los tiempos y tecnologías actuales.","El acceso a recursos y promoción de los resultados.","Transparencia y socialización de la información para la transformación de las realidades y problemáticas de las comunidades."
"95","Compartir experiencias","Superar prejuicios","Influjo positivo para una práctica abierta"
"96","Gusto personal","Mi edad","Crescimento como un todo amplio aspectos"
"97","Actualización y formación académica.","Considero que sería la falta de formación en esta área.","Dando a conocer de manera más amplia, los conocimientos  e investigaciones realizadas."
"98","Quiero ampliar mis conocimientos en investigación.","Acceso a datos, financiamiento, apoyo institucional","Facilita el acceso de conocimiento científico a todas las personas."
"99","Superación","Tecnología obsoleta para realizar los calculo.","Mayor claridad de datos estadísticos"
"100","Obtener conocimientos sobre investigación y ciencia abierta.","Accesibilidad de los datos, accesibilidad de revisión de otros trabajos de investigación en revistas que no son de acceso abierto.","La ciencia abierta permite que los conocimientos de la comunidad científica lleguen con facilidad al público en general"
"101",NA,"Falta de apoyo de las instituciones a las que uno pertenece","Mayor participación de estudiantes y docentes en la generación de ciencia abierta"
"102","Porque dirijo y participo de un equipo de investigación multidisciplinario donde trabajamos con datos y metadatos provenientes de diversas plataformas y el tema propuesto en esta formación me interpela directamente.","falta de conocimiento y experiencia, falta de tiempo","podría propiciar colaboración entre equipos e investigadores, podría respaldar los resultados obtenidos en los estudios"
"103","Amor hacia la ciencia","Miedo a el plagio de ideas","Por medio de foros y vídeo e  ilustraciones"
"104","Por que creo que podemos aportar al conocimiento y a mejorar brindando respuestas o soluciones a problemas que nos comprometen en nuestro país.","El temor a perder los datos, el plagio","Mayor cercanía y difusión de lo realizado, cercanía para mejor direccionamiento de los temas a revisar al escuchar las propuestas del público en general."
"105","Contribuir a mejorar los procesos de edición científica","La gestión de los datos de investigación","Mayor transparencia en la investigación científica"
"106","Considero que practicar la ciencia abierta fortalece mi actividad docente y de investigación así como la intervención a través de proyectos sociales.","Burocracia en las universidades","puede influir positivamente al beneficiarse la comunidad de los resultados de las investigaciones"
"107","Seguir aprendiendo y multiplicar el aprendizaje obtenido","Problema de conexión, dificultad para expresar las ideas, idioma, técnicas de investigación","Mayor difusión y comunicación"
"108","Para adquirir conocimientos y contribuir mejor con mi institución","Muchas personas consideran a la ciencia abierta como poco serio","La ciencia abierta favorece el acceso al conocimiento, por lo tanto habrá más acceso y empoderamiento del público"
"109","Continuar capacitándome para mejorar mi práctica en la investigación y apoyar a estudiantes y colegas que inician en la investigación","El desconocimiento de metodologías","Más y mejores investigaciones disponibles que mejorarían la calidad de investigaciones posteriores"
"110","Porque tengo lucho interés en realizar investigación científica pero me.he visto limitada por diversos fcatores pero eanun area quee.gusta que quisiera fortalecer en mi pais y en la divulgación","plagio","divulgación de la ciencia"
"111","Me apasiona investigar y siento que puede aportar mucho a mi formación.","El uso de programas Bioestadísticos, el acceso a datos propios ya que aún hace falta mucho fortalecer la investigación en mi país","Puede aportar mucho conocimiento nuevo y además fortalecer la investigación y la iniciativa"
"112","Expandir mis conocimientos","Derechos de autor","Acceso a la información"
"113","Para contribuir con el conocimiento en mi comunidad educativa, cosndiero que esta temática es necesaria ser abordada e importante analizada","La adopción de la Ciencia Abierta enfrenta varias barreras, como la falta de incentivos institucionales, donde se privilegia la publicación en revistas de alto impacto sobre la apertura de datos; también existen desafíos financieros, ya que los costos de almacenamiento y software no siempre están cubiertos por los fondos de investigación. Las preocupaciones sobre la propiedad intelectual, junto con la falta de formación en prácticas abiertas y la resistencia cultural, dificultan la implementación; además, la gestión de datos sensibles plantea retos éticos y legales, mientras que la infraestructura desigual y la incertidumbre sobre la reproducibilidad aumentan la complejidad del proceso.","Podría fortalecer la relación entre la comunidad científica y el público al fomentar la transparencia y la accesibilidad del conocimiento, al hacer que los datos, métodos y resultados sean accesibles, la ciencia se vuelve más comprensible y confiable para el público, lo que aumenta la confianza en la investigación; además, la participación ciudadana en proyectos colaborativos permite a las personas involucrarse directamente en la producción de conocimiento; sin embargo, este enfoque también plantea el desafío de comunicar adecuadamente los hallazgos para evitar malentendidos o la difusión de información incorrecta."
"114","Estoy realizando mi  tesis en la Especialización de Comunicación y Lenguaje Digital de la Facultad de Ciencias de la Comunicación , Universidad Nacional de Cördoba  y me interesa trabajar un producto de reservorio para un equipo de investigación de dicha facultad.","No conocer las herramientas disponibles.","La relación con la comunidad y los equipos de investigación se fortalecerian aún más en la medida que el acceso a la información y producciones sea fácil, seguro y confiable para el publico en general."
"115","Fomentar la cultura de la Investigación en Poblaciones vulnerables","DESMOTIVACION Y POCO APOYO FINANCIERO","FACILITA EL ACCESO LIBRE A LA INFORMACIÓN CIENTÍFICA A NIVEL MUNDIAL"
"116","Para mejorar, actualizándome, con temas que aun son novedosos para mi","Desconocimiento de la protección de datos y de autoría","Se puede divulgar desde el inicio todas las etapas de una investigación atrayendo posibles colaboradores científicos"
"117","Fortalecer conocimientos sobre los principios de Ciencia Abierta","Tiempo dedicado a la investigación, aprobación o consentimiento para contactar participantes del estudio, aprobación institucional para realizar investigaciones de alto impacto.","Manipulación de datos, infringiendo normas editoriales o éticas."
"118",NA,"Disponibilidad de datos en LATAM","En función de la accesibilidad"
"119","Para obtener conocimientos nuevos y expandir mis estudios para la preparación de mi profesión","La falta de apoyo y accesibilidad a fuentes para la publicación de los resultados","Generaría un lazo entre ambos canales para fomentar la investigación y la trasmisión de mensajes"
"120","Me interesa participar en este programa de formación ya que siempre tuve gran afición a la ciencia, y divulgación, actualmente estudiando dos carreras, una stem, ingeniería aeroespacial (ingreso). Considero que la formación es esencial en todo este trayecto académico y a su vez en mi vida como tal.","Creo que el desarrollo de la Ciencia Abierta puede llegar de cierta forma a conflictuar con los realizadores como tal de estas investigaciones, ya que al generar esta exposición, se es más propenso a recibir devoluciones o cuestionamientos no del todo gratos, así como la susceptibilidad inmediata a todo esto.","Creo que puede ser una buena forma de mostrar al mundo toda esa parte que no se ve detrás de cada investigación, así se comprende realmente el porqué de las cosas, y el accionar sobre todo, que toda reacción que se genera es debido a un motivo, y no simplemente porque así se quiso, lo cual podría de cierta forma, achichar esa brecha o estigma que hay sobre la comunidad científica en general."
"121","Me participación en otro evento que han organizado y leyendo la descripción de este evento me ha interesado mucho.","La formación para conocer las diferentes herramientas y opciones de Ciencia Abierta.","Muy importante. Un mayor acceso del público al conocimiento científico."
"122","Se me hizo pertinente","Problemas de plagio","Mejoraría la relacion"
"123","AI","AI","AI"
"124","Soy estudiante doctoral y mi investigación tiene aplicación en políticas públicas de gestión pesquera, considero importante la ciencia abierta para una mayor pesca sostenible en mi país y en el mundo.","La pérdida de autoria y la remuneración","Creo que será bien recibida ya que se da a conocer qué y cómo se hace una investigación y sus resultados podrían serles de utilidad."
"125",NA,"La falta de información en relación a los tópicos de investigación es una gran limitante a la hora de desarrollar temas de inevestigacion.",NA
"126","Estoy en mis primeros pasos en mi carrera universitaria y quiero aprovechar todas las oportunidades que se me presenten para ampliar mis conocimientos en el ámbito de la investigación","Al no tener un conocimiento profundo sobre los temas, sería dificultoso ir aprendiendo a la par de realizar una investigación en la cual no hubo una base teórica sólida","Facilitaría el lenguaje y las herramientas para que el público pueda entender de mejor manera y corroborar ciertos planteamientos que surjan como consecuencia de estás investigaciones"
"127","Por que siempre me ha interesado el área de la ciencia y más si esta relacionado con la Nasa","Tiempo y carga de trabajo adicional","Podría aumentar el acceso a la educación científica"
"128","La formación debe ser continua en el area de salud y generar investigaciones contribuyen con la actualización y la mejora de la atención hacia los pacientes. Es gratificante aportar a la sociedad con investigación.","Poca inversión economica en los proyectos de investigación y desinteres de las instituciones en apoyar a los investigadores.","No habria la brecha que separa esos dos entes."
"129","Por qué es de gran importancia la investigación sobre todo para contribuir en mi formación como profesional de salud","Talvez la guia o  recursos","En la comunicación por qué así el público tendrá mayor conocimiento basado en evidencia"
"130","Para ampliar mi conocimientos y desarrollar nuevas habilidades para mi perfil profesional","Recolección de datos exactos","Informar no solo a un grupo de personas sino a la población, a si también dar más ideas, conocimientos y a partir de eso surgir nuevas ideas"
"131","Como docente de educación media me gusta seguir aprendiendo, sobre todo con información que puede extenderse a la comunidad.","Cantidad y variedad de datos.","Positivo. La sociedad se sentiría un poco más involucrada en los procesos."
"132","Divulgación científica y curiosidad","Inversiones","Por medio del conocimiento se llega a un consenso logico"
"133","Como estudiante de maestría, me interesa participar en este programa porque creo que los principios de la Ciencia Abierta pueden motivar mi investigación actual sobre desigualdad, economía laboral y las implicaciones del cambio climático en el desarrollo económico, temas cruciales para cumplir con las metas de la Agenda 2030. Al avanzar en mi carrera académica e investigativa, considero fundamental incorporar prácticas abiertas y colaborativas para garantizar la transparencia y el acceso equitativo al conocimiento, lo que también puede generar un mayor impacto social en mi área de estudio.","En mi experiencia actual como estudiante de maestría en economía, trabajando en mi tesis sobre cambio climático y desigualdad, he enfrentado varios desafíos relacionados con la adopción de prácticas de Ciencia Abierta. Uno de los principales problemas es que muchos científicos no publican los códigos de los softwares que utilizan para obtener sus resultados, lo que dificulta la replicabilidad de los estudios. Además, el acceso a la literatura científica es limitado, ya que muchas revistas cobran para acceder a los papers, lo que restringe la posibilidad de construir una base sólida de antecedentes y referencias en mi investigación.","La adopción de los principios de CA podría mejorar la relación entre la comunidad científica y el público en general al hacer la ciencia más accesible, comprensible y transparente. Al compartir datos, métodos y resultados abiertamente, se reducirían las barreras para que personas fuera del ámbito académico, como profesionales, activistas y responsables de políticas, puedan utilizar ese conocimiento para tomar decisiones informadas."
"134","Para gestionar de forma más eficiente revistas científicas de acceso abierto","Algunas bases de datos son preferidas por las agencias financiadoras","A través de la democratizacion del conocimiento."
"135","Porque quiero contribuir a que la investigación sea más accesible y transparente. Adquirir conocimientos sobre estas prácticas me permitirá impulsar proyectos colaborativos, fomentar la divulgación científica y generar un impacto positivo en comunidades vulnerables a través del acceso abierto al conocimiento. Además, creo que la Ciencia Abierta es clave para abordar los desafíos globales.","Las principales barreras para adoptar prácticas de Ciencia Abierta en ingeniería incluyen la falta de formación en el manejo de datos abiertos, la preocupación por la propiedad intelectual y posibles usos indebidos, y la falta de incentivos institucionales o financieros. Además, algunos investigadores pueden enfrentar resistencia por parte de colegas o dificultades técnicas para compartir datos o software de manera accesible.","Yo creo que fortalecería la relación entre la comunidad científica y el público al fomentar la transparencia y el acceso a la información, lo que aumenta la confianza y comprensión mutua. Además, permite que el público participe más activamente en el proceso científico, lo que puede generar mayor interés y apoyo hacia la investigación. Esto también contribuye a la democratización."
"136","Conocimientos de ciencia abierta","Colaboración de las entidades","Mayor accesibilidad a información"
"137","Me interesa reflexionar y aprender acerca de situaciones y ejemplos de nuestra propia vivencia en lo relativo a investigar en América Latina. Mer encantó la reflexión publicada ""Ciencia Abierta no es un “tipo de ciencia”; es una forma de hacer las cosas – muchas veces, desafiando al status quo"".","Quizás dos cuestiones una de ellas el temor que al compartir los datos prematuramente pueda ser visto como una falta de rigurosidad y la otra cuestión de que las instituciones suele premiar la publicación en revistas de alto impacto, que a menudo no son de acceso abierto.","Podría colaborar desmitificando la ciencia, mostrándola como un proceso dinámico y colaborativo."
"138",NA,"Que sus códigos y datos sean efectivamente supervisados","Mayor transparencia en los datos y la interpretacion de esos datos."
"139","Porque desarrollo proyectos de investigación en los cuales podría/debería aplicar ciencia abierta.","En el caso de las publicaciones de acceso abierto generalmente tienen costos altos de publicación lo cual complejiza el ciclo de indexación y acceso al financiamiento de manera negativa. Afortunadamente cada vez hay más recursos pero aún es un campo en crecimiento.","Creo que la ciencia abierta es una oportunidad única para que la ciudadanía recupere la confianza en el conocimiento técnico con sensibilidad social y mirada local."
"140","Actualización e intercambio de experiencias y conocimientos","los recursos economicos, la falta de equipo instrumental, para los diseños experimentales","Considero que los principios de la ciencia abierta deben ser divulgados, para comprender la relacción del hombre realidad y conocimiento"
"141","Porque, como profesora universitaria, imparto una asignatura cuyo programa aborda la Ciencia Abierta, como parte de sus contenidos.","1-Interés por monopolizar el conocimiento.
2-Violaciones al derecho de autor.","Lograr una mayor visibilidad de las investigaciones y un mayor conocimiento de los proyectos por parte del público en general."
"142","Hoy en día soy investigadora asociada a un centro de investigación de colibríes y me estoy iniciando como voluntaria en DOAJ y en un círculo editorial de revistas científicas en mi país. Pienso que esto me hará estar más preparada para todas las áreas de mi formación profesional.","El miedo a que alguien más logre publicar tus ideas antes que tú por no tener recursos suficientes para desarrollar el proyecto tan rápido.","La ciencia no debe quedar entre científicos sino que debe ser de conocimiento público para todos."
"143","Quisiera seguir sumando herramientas y conocimientos sobre ciencia abierta.",NA,"Considero que los principios de la ciencia abierta tienen el potencial de reducir la brecha entre la ""comunidad científica"" y el ""público general"", promueven que la ciencia sea más transparente, accesible y colaborativa."
"144","Estoy interesado en participar en ALTa Ciencia Abierta 3 2024 porque considero que la Ciencia Abierta es crucial para el avance del conocimiento de manera inclusiva y accesible. Como profesional de la tecnología y el análisis de datos, me interesa aprender sobre estos principios y cómo aplicarlos en proyectos relacionados con América Latina, especialmente en áreas como la salud y el bienestar, donde la colaboración y la transparencia son esenciales. Esta formación, además, ofrece una oportunidad única para interactuar con otros profesionales y compartir experiencias locales en la región.","Una barrera es sin duda el desconocimiento de fuentes de datos abiertas, asi como conocer donde se puedan publicar articulos y que sean reconocidos. asimismo debido a que las principales revistas cientificas son en ingles. el idioma podria llegar a ser una limitante.","Podria influir bastante apoyando en la toma de decisiones, y en el conocimiento publico de diferentes problematicas, empoderar a la ciudadania permite un control social real sobre el dia a dia y los efectos de la politicas en la sociedad."
"145","Por que me interesa aprender y ser divulgadora. Por que quiero llevar los conocimientos a más mujeres y a mi familia. Por que me gustan los retos. Porque mi grupo por edad y género está olvidado en éstos ámbitos.","Que las fuentes sean respetadas. Los idiomas. Que se compartan estudios que complementen la investigación.","Para bien, ya que muchos resultados de investigaciones tardan mucho en llegar al público en general. Además siempre pueden complementar y dar dirección a la investigación. Me parece genial."
"146","Porque me quiero entender qué es exactamente y cómo hacer para fomentarla. Tengo algunas ideas de qué es y qué implica, pero no estoy 100% segura si mis ideas son correctas y si hay aspectos de la ciencia abierta que no tengo en cuenta.","Para publicar en revistas abiertas, a veces los costos son muy altos.","Postivamente, sobre todo en la publicación de posteos, proyectos y expliación de cómo se consiguieron los datos que se están unsando."
"147","Me gustaría aprender sobre las prácticas de ciencia abierta; sus ventajas y desventajas.","Posiblemente el plagio","Tener un mayor acceso a el conocimiento científico"
"148","Soy un apacionado por los datos abiertos","Limitantes data por los financiadores o instituciones en las que que trabajan","Logra un vinculo y comprensión del método científico además de la reproducibilidad"
"149","Para mejorar mi práctica docente y profesional, así como para apoyar mejor a mis estudiantes en sus proyectos de investigación.","Los criterios de evaluación para conseguir distinciones o apoyos económicos","Mejoraría bastante la inclusión y el acercamiento de la sociedad en general para usar el conocimiento científico."
"150","Para aprender más","Falta de Capacitación","El Acceso a la información"
"151","Considero que la Ciencia Abierta es fundamental porque democratiza el conocimiento y acelera los desarrollos científicos, especialmente en América Latina. Me entusiasma estar en una posición en la que pueda profundizar mis conocimientos en sus principios y mejores prácticas con expertos de MetaDocencia y la NASA.
Además, podré compartir experiencias con otros profesionales que hablan español y que han tomado cursos sobre estos temas. Creo que este enfoque de contextualizar el contenido en nuestra realidad latinoamericana me enriquecerá mucho y me permitirá aplicar lo aprendido en mi contexto de formas aún más efectivas.
Me interesa también el formato práctico y colaborativo que propondrá el programa. Tener la oportunidad de conocer casos de éxito regionales, discutir y presentar iniciativas propias será una buena manera de asimilar los conceptos y generar nuevas ideas.
Finalmente, una certificación reconocida por la NASA será de gran valor para mi desarrollo profesional y también como un medio para fomentar proyectos de Ciencia Abierta en mi institución/comunidad.","Desde mi perspectiva, algunas de las principales barreras y desafíos que los investigadores en mi disciplina podrían enfrentar al adoptar prácticas de Ciencia Abierta son:
- Resistencia al cambio
- Falta de incentivos institucionales
- Preocupaciones sobre la propiedad intelectual
- Costos asociados
- Problemas de privacidad y ética
Falta de infraestructura o herramientas adecuadas","La adopción de principios de Ciencia Abierta tiene el potencial de transformar profundamente la relación entre la comunidad científica y el público general. Al hacer que la investigación sea más accesible y transparente, podríamos ver un aumento significativo en la confianza del público hacia la ciencia. Esto se debe a que las personas podrían comprender mejor cómo se llevan a cabo las investigaciones y cómo se llega a las conclusiones científicas.
Además, la Ciencia Abierta podría fomentar una mayor participación ciudadana en proyectos científicos, lo que no solo enriquecería la investigación, sino que también ayudaría a las personas a sentirse más conectadas con el proceso científico. Esta participación activa podría llevar a una mejor comprensión pública de los métodos y resultados científicos, reduciendo la brecha de conocimiento entre los expertos y el público general."
"152","Recientemente empece a participar en librerias de codigo abierto usadas en mi campo mi campo, con mi participacion  y algunas reservas con respecto a los sistemas de publicacion en ciencia, en especial los paywall y el formato utilizado hoy en dia, se desperto un interes por la ciencia abierta. Quisiera saber que Opinan otras personas al respecto y tener mejores nociones de que es la ciencia abierta y que estandares estan promoviendo las organizaciones.","En mi disciplina muchas personas no desean compartir su codigo, lo cual ha sido una barrera para mi al momento de colaborar. Creo que ademas, el costo de las publicaciones de acceso abierto hace que se publique alli menos seguido","Creo que la transparencia que viene con la ciencia abierta, puede ayudar a darle una mejor imagen a la ciencia, atraer mas personas a ella, y al mismo tiempo servir para que las personas de ciertas localidades tengan una mejor opinion sobre el gasto publico en ciencia"
"153","Me interesa participar en este programa de formación porque considero que el acceso a la información y su adecuada interpretación es fundamental en el ámbito de la comunicación y la educación, áreas en las que me desempeño profesionalmente.","Creo que la falta de reconocimiento académico, continúa una resistencia por parte de algunos sectores ya que desde la Academia se incentiva la publicación en revistas prestigios de acceso restringido.","Lo que no se conoce no puede valorarse, en este sentido, hay que comunicar y lograr transformar positivamente la relación entre la comunidad científica y el público en general. Al permitir un acceso más amplio a los datos, publicaciones y procesos de investigación, se fomenta una mayor transparencia, lo que puede aumentar la confianza del público en la ciencia y en los investigadores."
"154","Estoy interesado en la divulgación abierta para todos y el uso de tecnologías en mejorar la manera en que damos a conocer la ciencia.","Quizá, encontrar los medios adecuados para su difusión.","Creo que la influencia de la ciencia abierta podría generar esa esencia de investigación y generar nuevas ideas en el público en general."
"155","Para fomentar la ciencia abierta en mi universidad","El miedo a que le roben las ideas","Podrian aprender mutuamente"
"156","Porque considero que la ciencia debe ser abierta para democratizar el acceso al conocimiento en el marco de socieddades muy desiguales.  Esas desigualdades hacen relevante repensar las formas y mecanismos de apertura de datos.","falta de conocimiento/tiempo implicado para anonimizar los datos/ sensación de falta de control de lo investigado/ cierto egoísmo para compartir datos y producciones","si, sin duda. Porque habría más difusión de la ciencia, y porque se entenderian los procesos de producción científica"
"157","Por la excelente manera de enseñar y crear más conocimientos a personas de diferentes países con ámbitos laborales diferentes","Lograr encontrar la forma posible de aprender como hacer una investigación con un ámbito de aprendizaje alto","Ayudando mucho ya que con eso se puede enseñar al resto y pueden aprender sobre de que se trata la ciencia abierta"
"158","Aprendizaje continuo y transferencia de conocimiento","Falta de conocimiento de la disciplina","Muy positivamente"
"159","Me interesa mucho la formación en ciencia abierta para su uso en investigación, a su vez soy editor en la revista Argentina de ciencias del comportamiento. Por lo que querria conocer más sobre como trabajar y fomentar la ciencia abierta","Copyright de instrumentos, acuerdo entre investigadores y directores. Mal uso de datos publicados en ciencia abierta que reduzca la motivación a publicarlos.","Permitiria una reducción de retracciones y malas prácticas. Perimitira la evolución y proliferación de estudios que incorporen reanalisis de datasets o comparación de los mismos."
"160","Para conocer más sobre la iniciativa de ciencia abierta, que me parece una propuesta muy interesante y necesaria para aplicar","Falta de conocimiento de las personas con cargos de jerarquía en los equipos de investigación, lo que obstaculiza la puesta en marcha de los pasos correspondientes","Acercar al público a los resultados obtenidos, permitiendo que la investigación realmente tenga consecuencias en la cotidianeidad de las personas y que deje de ser algo ""interno"" del ámbito académico."
